node,IX,IY,IZ
2511,10,9,5
2516,10,9,10
2526,10,10,6
2529,10,10,9
2527,10,10,7
2528,10,10,8
2636,11,1,4
2637,11,1,5
2624,11,0,6
2640,11,1,8
2641,11,1,9
2650,11,2,4
2642,11,1,10
2656,11,2,10
2663,11,3,3
2671,11,3,11
2677,11,4,3
2685,11,4,11
2691,11,5,3
2699,11,5,11
2705,11,6,3
2713,11,6,11
2720,11,7,4
2727,11,7,11
2734,11,8,4
2740,11,8,10
2749,11,9,5
2753,11,9,9
2764,11,10,6
2765,11,10,7
2766,11,10,8
2876,12,1,6
2877,12,1,7
2888,12,2,4
2889,12,2,5
2878,12,1,8
2879,12,1,9
2894,12,2,10
2902,12,3,4
2908,12,3,10
2916,12,4,4
2922,12,4,10
2930,12,5,4
2936,12,5,10
2944,12,6,4
2950,12,6,10
2958,12,7,4
2964,12,7,10
2973,12,8,5
2977,12,8,9
2988,12,9,6
2990,12,9,8
2989,12,9,7
3114,13,1,6
3115,13,1,7
3127,13,2,5
3116,13,1,8
3131,13,2,9
3141,13,3,5
3142,13,3,6
3145,13,3,9
3155,13,4,5
3159,13,4,9
3169,13,5,5
3173,13,5,9
3183,13,6,5
3187,13,6,9
3197,13,7,5
3201,13,7,9
3212,13,8,6
3198,13,7,6
3214,13,8,8
3200,13,7,8
3213,13,8,7
3353,14,1,7
3366,14,2,6
3368,14,2,8
3369,14,2,9
3380,14,3,6
3383,14,3,9
3156,13,4,6
3394,14,4,6
3395,14,4,7
3396,14,4,8
3170,13,5,6
3409,14,5,7
3410,14,5,8
3184,13,6,6
3423,14,6,7
3186,13,6,8
3199,13,7,7
3605,15,2,7
3606,15,2,8
3618,15,3,6
3619,15,3,7
3620,15,3,8
3633,15,4,7
3634,15,4,8
